tickertime,openprice,closeprice,high,low,predictprice
2019-08-11,11298.286962,11560.687759,11542.570703,11166.908561,9034.110277456171
2019-08-10,11849.689297,11298.286962,11920.825124,11277.199332,9020.481094980216
2019-08-09,11971.953791,11849.689297,11980.095567,11682.694017,9006.868960646201
2019-08-08,11931.798866,11971.953791,11997.456747,11536.71284,8993.273857526221
2019-08-07,11466.665108,11931.798866,12102.559191,11400.830149,8979.695768705033
2019-08-06,11775.793728,11466.665108,12239.052413,11235.193317,8966.134677279548
2019-08-05,10928.007007,11775.793728,11889.837677,10928.007007,8952.590566359338
2019-08-04,10809.325316,10928.007007,10994.626964,10572.242367,8939.06341906619
2019-08-03,10524.869259,10809.325316,10882.763384,10509.097631,8925.553218534536
2019-08-02,10375.257341,10524.869259,10651.029321,10332.271153,8912.059947911093
2019-08-01,10069.307158,10375.257341,10448.438493,9890.450606,8898.58359035485
2019-07-31,9573.65631,10069.307158,10072.711412,9559.343848,8885.124129037584
2019-07-30,9524.107159,9573.65631,9687.811001,9476.750709,8871.681547142967
2019-07-28,9503.8956,9534.284218,9596.604925,9247.023019,8844.846954419727
2019-07-27,9860.218091,9503.8956,10166.000228,9428.562311,8831.454910020699
2019-07-26,9907.507567,9860.218091,9907.507567,9711.44571,8818.079677904074
2019-07-25,9765.290986,9907.507567,10172.091587,9765.290986,8804.721241315383
2019-07-24,9926.151936,9800.907505,9937.282988,9616.456992,8791.379583512971
2019-07-23,10394.235502,9926.151936,10394.235502,9886.739601,8778.054687767206
2019-07-22,10657.243958,10394.235502,10667.084556,10210.107401,8764.746537361047
2019-07-21,10761.59527,10605.362741,10818.430627,10365.456751,8751.455115589608
2019-07-20,10531.551526,10761.59527,11063.997557,10433.993424,8738.180405760448
2019-07-19,10638.968173,10523.36826,10707.136129,10050.935593,8724.922391193482
2019-07-18,9710.822599,10638.968173,10709.277708,9334.796816,8711.681055220773
2019-07-17,9664.021772,9721.116535,9934.634321,9125.881658,8698.45638118681
